Mstr Cust Acct Cd,Acs Cust Acct Cd,Customer Name,Cust Status Cd
BANCH,BANCH,BAN CHOON MARKETING PTE LTD,A
BANDAI,BANDAI,BANDAI S.A.,I
BANDAI,BANDA1,BANDAI S.A.,I
BANSAR,BANSAR,BANSARD INTERNATIONAL,I
BAO1,BAO1,BAOHUNG-1,I
NEWLEU,BAPEU,NEWELL EUROPE SARL- BABY & PARENTING ESSENTIALS,A
BARIC,BARIC,BARICO BVBA,I
BARK,BARK,BARKER & STONEHOUSE,I
BARKER,BARKER,BARKER AND STONEHOUSE LTD.,I
BART,BART,BART DE SMET,I
BASA,BASA,BASECO SA DE CV,A
NEWLEU,BASEU,NEWELL EUROPE SARL- BEAUTY & STYLE (GOODY),A
BASFPE,BASFPE,BILLING ONLY,I
BASHIR,BASHIR,MR BASHIR DAHIR BARRE,I
BASIC,BASIC,JJ BASICS,I
BATA,BATA,AATA NEDERLAND BV,I
BAB,BATH,"BATH & BODY WORKS, INC",A
BAUER,BAUER,"BAUER NIKE HOCKEY, INC.",I
BAUH,BAUH,BAUHAUS,I
BAUMDI,BAUMDI,BAUMARKT DIREKT GMBH & CO KG,A
BAXGLO,BAXGLO,BAX GLOBAL,I
BAXNE,BAXNE,BAXTER BV,I
BAXT,BAXT,BAXTER DISTRIBUTION CENTER EUROPE,I
BAXTER,BAXTER,BAXTER'S LTD.,I
